LAMMPS data file via write_data, version 15 Sep 2022, timestep = 50000000

96 atoms
1 atom types
144 bonds
1 bond types
96 ellipsoids

-20 20 xlo xhi
-20 20 ylo yhi
-20 20 zlo zhi

Masses

1 1

Pair Coeffs # lj/cut

1 1 2.5

Bond Coeffs # fene

1 30 1.8 0 1

Atoms # hybrid

50 1 -8.891189581749936 3.7997520673688183 2.596021476151148 0 0.24755086942132382 0.1869574606295335 -0.950665806139941 1 11.99524007821832 1 0 0 0
47 1 -11.602914006655352 4.491084261417396 2.3014824460760095 0 -0.8819870759809283 0.11067350836145334 -0.4580940649578203 1 11.99524007821832 1 0 0 0
48 1 -11.182610123459481 3.8488203150801743 3.4648071905299243 0 -0.31835729047031724 -0.6782173562255793 0.6623215633804949 1 11.99524007821832 1 0 0 0
43 1 -9.821310811596849 3.7464845702511935 3.640943927822529 0 -0.7029881070513924 -0.29909727884256887 -0.6452507567862833 1 11.99524007821832 1 0 0 0
56 1 -11.83728715475257 -0.3066621598861086 4.245305898424144 0 0.8838726199046265 0.004632330527930356 0.46770475013282853 1 11.99524007821832 1 0 0 0
52 1 -9.873492730259455 -1.5936158995771137 4.431883198589578 0 -0.15845837732946585 -0.8073892375929729 -0.5683428205521299 1 11.99524007821832 1 0 0 0
51 1 -10.665409128185392 -0.4773938888358826 4.8116462482343865 0 -0.8750329982704987 0.4754018657621927 0.09116094540738345 1 11.99524007821832 1 0 0 0
41 1 -8.54057135024251 -1.2215750025620926 4.480879032872617 0 0.5548233216144776 -0.49821215116528317 -0.6663000331862063 1 11.99524007821832 1 0 0 0
7 1 -13.480634995444339 1.2670628920914622 3.6047292823970545 0 0.21960378448010626 0.5306234273166425 -0.8186653505705218 1 11.99524007821832 1 0 0 0
55 1 -12.407746590160055 0.7978275967250851 4.454956077541581 0 -0.7481553900490261 -0.5192848268224156 -0.4130457371437245 1 11.99524007821832 1 0 0 0
46 1 -9.764887747645838 0.5163803014646133 5.189430637881862 0 0.5998734257783698 -0.5917302622871349 0.5385231376074022 1 11.99524007821832 1 0 0 0
45 1 -10.305110601425069 1.7661788218578136 4.94128873693721 0 -0.07343357770707548 -0.6960927531549739 -0.7141865223247128 1 11.99524007821832 1 0 0 0
42 1 -8.451495973810912 0.16025685496184186 4.870063659014492 0 0.8192069201913941 -0.36091128908106407 -0.4456939121464139 1 11.99524007821832 1 0 0 0
37 1 -7.644724739511976 0.9610793972650317 4.243620750929441 0 0.7628963277018789 -0.6149446165939808 0.1995803389642113 1 11.99524007821832 1 0 0 0
57 1 -11.609182034301499 1.937141948283082 4.729808865039846 0 0.7540517355562552 0.1886184299808515 -0.629149479834608 1 11.99524007821832 1 0 0 0
58 1 -12.048194451881553 3.0662462470641314 4.144503021622684 0 -0.8728088444244361 -0.07884436428457389 0.48165162442894555 1 11.99524007821832 1 0 0 0
